method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,study_slice
hybrid,minilm,13,3,1,3636.390323070093,2950.6647999805864,0.07692307692307693,0.046153846153846156,0.15384615384615385,0.23076923076923078,0.14102564102564102,0.10897435897435898,0.11538461538461539,0.13026356950902082,2,2,cross_source
semantic,minilm,13,3,1,3965.5214692309246,2768.833500012988,0.07692307692307693,0.046153846153846156,0.15384615384615385,0.23076923076923078,0.12179487179487179,0.09935897435897435,0.07692307692307693,0.12081859376579385,2.6666666666666665,3,cross_source
hybrid,multilingual,13,4,2,3820.0681923078196,3591.1180999828503,0.15384615384615385,0.07692307692307693,0.2692307692307692,0.3076923076923077,0.21794871794871795,0.20512820512820512,0.19230769230769232,0.22749957893768166,1.75,1.5,cross_source
semantic,multilingual,13,4,1,3512.7679307636126,3078.1314999912865,0.07692307692307693,0.07692307692307693,0.2692307692307692,0.3076923076923077,0.14743589743589744,0.14038461538461539,0.07692307692307693,0.17752611013266278,2.75,3.0,cross_source
hybrid,minilm,34,32,28,336.58128529393304,343.1787999870721,0.8235294117647058,0.4588235294117647,0.6624649859943977,0.9411764705882353,0.8774509803921569,0.6213888888888889,0.6242997198879552,0.7083099339756086,1.15625,1.0,english_main
semantic,minilm,34,32,28,255.3660588224268,259.1240000037942,0.8235294117647058,0.4411764705882353,0.6379551820728291,0.9411764705882353,0.8700980392156863,0.6024264705882353,0.5931372549019608,0.6894640015169955,1.21875,1.0,english_main
hybrid,multilingual,34,32,27,418.23320293898337,410.8826000010595,0.7941176470588235,0.4176470588235294,0.623249299719888,0.9411764705882353,0.8553921568627451,0.5843954248366013,0.5857843137254902,0.6663744508229775,1.25,1.0,english_main
semantic,multilingual,34,32,26,330.98491764822563,319.1337000025669,0.7647058823529411,0.40588235294117647,0.6060924369747899,0.9411764705882353,0.8406862745098039,0.5584477124183006,0.5423669467787114,0.6476236291500882,1.28125,1.0,english_main
hybrid,minilm,12,7,4,378.36167500305845,323.5563500056742,0.3333333333333333,0.23333333333333334,0.32936507936507936,0.5833333333333334,0.4125,0.25458333333333333,0.24206349206349206,0.3229843282497078,2.142857142857143,1,tr_subset
semantic,minilm,12,6,5,293.31570000067586,246.3312999898335,0.4166666666666667,0.23333333333333334,0.30158730158730157,0.5,0.4375,0.27958333333333335,0.27380952380952384,0.33223289126812855,1.5,1.0,tr_subset
hybrid,multilingual,12,8,5,418.95602500396006,379.974850002327,0.4166666666666667,0.26666666666666666,0.36904761904761907,0.6666666666666666,0.5138888888888888,0.3115277777777778,0.35317460317460314,0.38455049566235067,1.625,1.0,tr_subset
semantic,multilingual,12,8,4,314.5167166633958,288.0693000042811,0.3333333333333333,0.31666666666666665,0.42956349206349204,0.6666666666666666,0.4722222222222222,0.34805555555555556,0.31845238095238093,0.41760136227322675,1.75,1.5,tr_subset
