method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,topic
bm25,minilm,2,2,2,1.1775000020861626,1.1775000020861626,1.0,0.6,0.6,1.0,1.0,0.575,0.6,0.710970696247901,1,1.0,drought_climate_history
hybrid,minilm,2,2,2,34.67559994896874,34.67559994896874,1.0,0.6,0.6,1.0,1.0,0.5016666666666667,0.6,0.6695801026368081,1,1.0,drought_climate_history
semantic,minilm,2,2,2,32.03574998769909,32.03574998769909,1.0,0.5,0.5,1.0,1.0,0.44166666666666665,0.5,0.6039775638806372,1,1.0,drought_climate_history
hybrid,multilingual,2,2,2,69.20444994466379,69.20444994466379,1.0,0.7,0.7,1.0,1.0,0.6066666666666667,0.7,0.7469385177900298,1,1.0,drought_climate_history
semantic,multilingual,2,2,2,91.61840000888333,91.61840000888333,1.0,0.5,0.5,1.0,1.0,0.47500000000000003,0.5,0.6261806449294969,1,1.0,drought_climate_history
bm25,minilm,2,2,2,0.616899982560426,0.616899982560426,1.0,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,1,1.0,flood_hydrology
hybrid,minilm,2,2,2,31.539049989078194,31.539049989078194,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,flood_hydrology
semantic,minilm,2,2,2,29.241149954032153,29.241149954032153,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,flood_hydrology
hybrid,multilingual,2,2,2,62.38920002942905,62.38920002942905,1.0,0.2,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1,1.0,flood_hydrology
semantic,multilingual,2,2,2,62.42770003154874,62.42770003154874,1.0,0.2,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1,1.0,flood_hydrology
bm25,minilm,2,2,2,1.5131999971345067,1.5131999971345067,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,marine_proxy
hybrid,minilm,2,2,2,35.25650000665337,35.25650000665337,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,marine_proxy
semantic,minilm,2,2,2,33.10614998918027,33.10614998918027,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,marine_proxy
hybrid,multilingual,2,2,2,64.47364995256066,64.47364995256066,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,marine_proxy
semantic,multilingual,2,2,2,59.68620005296543,59.68620005296543,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,marine_proxy
bm25,minilm,2,2,2,0.9790000622160733,0.9790000622160733,1.0,0.7,0.7,1.0,1.0,0.655,0.7,0.7765732350040719,1,1.0,storm_forecast_history
hybrid,minilm,2,2,2,34.33890000451356,34.33890000451356,1.0,0.4,0.4,1.0,1.0,0.3666666666666667,0.4,0.5309433889592838,1,1.0,storm_forecast_history
semantic,minilm,2,2,2,33.30594999715686,33.30594999715686,1.0,0.4,0.4,1.0,1.0,0.3666666666666667,0.4,0.5309433889592838,1,1.0,storm_forecast_history
hybrid,multilingual,2,2,2,61.258549976628274,61.258549976628274,1.0,0.6000000000000001,0.6000000000000001,1.0,1.0,0.5549999999999999,0.6000000000000001,0.6917831836856678,1,1.0,storm_forecast_history
semantic,multilingual,2,2,2,59.12299995543435,59.12299995543435,1.0,0.2,0.2,1.0,1.0,0.2,0.2,0.3391602052736161,1,1.0,storm_forecast_history
bm25,minilm,2,2,0,0.8429999579675496,0.8429999579675496,0.0,0.7,0.5,1.0,0.5,0.4633333333333333,0.6428571428571428,0.595237255970213,2,2.0,weather_conditions
hybrid,minilm,2,2,2,30.705299985129386,30.705299985129386,1.0,0.7,0.5,1.0,1.0,0.5966666666666667,0.7857142857142857,0.7426142775581612,1,1.0,weather_conditions
semantic,minilm,2,2,2,35.20010004285723,35.20010004285723,1.0,0.7,0.5,1.0,1.0,0.5966666666666667,0.7857142857142857,0.7426142775581612,1,1.0,weather_conditions
hybrid,multilingual,2,2,1,57.54989996785298,57.54989996785298,0.5,0.6,0.42857142857142855,1.0,0.75,0.43666666666666665,0.6428571428571428,0.5995614962020814,1.5,1.5,weather_conditions
semantic,multilingual,2,2,0,64.97825006954372,64.97825006954372,0.0,0.6,0.42857142857142855,1.0,0.5,0.3683333333333333,0.42857142857142855,0.5222030810488598,2,2.0,weather_conditions
