method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
hybrid,minilm,2,2,2,31.99360001599416,31.99360001599416,1.0,0.6,0.6,1.0,1.0,0.5016666666666667,0.6,0.6695801026368081,1,1.0,climate_variability
semantic,minilm,2,2,2,34.181300026830286,34.181300026830286,1.0,0.5,0.5,1.0,1.0,0.44166666666666665,0.5,0.6039775638806372,1,1.0,climate_variability
hybrid,minilm_ft,2,2,2,31.78425005171448,31.78425005171448,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,1,1.0,climate_variability
semantic,minilm_ft,2,2,2,27.976799989119172,27.976799989119172,1.0,0.8,0.8,1.0,1.0,0.71,0.8,0.830419897363192,1,1.0,climate_variability
hybrid,minilm,2,2,2,29.51115003088489,29.51115003088489,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,hydrology
semantic,minilm,2,2,2,31.47059999173507,31.47059999173507,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,hydrology
hybrid,minilm_ft,2,2,2,30.359200027305633,30.359200027305633,1.0,0.6,1.0,1.0,1.0,0.9583333333333333,0.8333333333333333,0.9837339917445846,1,1.0,hydrology
semantic,minilm_ft,2,2,2,27.13025000412017,27.13025000412017,1.0,0.5,0.8333333333333333,1.0,1.0,0.7916666666666666,0.6666666666666666,0.8664143102388955,1,1.0,hydrology
hybrid,minilm,2,2,2,33.64964999491349,33.64964999491349,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
semantic,minilm,2,2,2,37.143199995625764,37.143199995625764,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
hybrid,minilm_ft,2,2,2,35.06864997325465,35.06864997325465,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
semantic,minilm_ft,2,2,2,30.527500028256327,30.527500028256327,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
hybrid,minilm,4,4,4,31.750074995215982,32.36364998156205,1.0,0.55,0.45,1.0,1.0,0.4816666666666667,0.5928571428571429,0.6367788332587225,1,1.0,weather_climate
semantic,minilm,4,4,4,36.974100017687306,33.830100030172616,1.0,0.55,0.45,1.0,1.0,0.4816666666666667,0.5928571428571429,0.6367788332587225,1,1.0,weather_climate
hybrid,minilm_ft,4,4,4,30.685225035995245,30.329600034747273,1.0,0.8500000000000001,0.7214285714285714,1.0,1.0,0.8400000000000001,0.7928571428571429,0.8978803737831526,1,1.0,weather_climate
semantic,minilm_ft,4,4,4,31.736250035464764,30.25290003279224,1.0,0.7,0.6,1.0,1.0,0.6799999999999999,0.6357142857142857,0.7883291114011228,1,1.0,weather_climate
